,                               angr,       ghidra,     panda,      styx,       unicorn
aarch64 scalar,                 **Yes**,    **Yes**,    No,         No,         **Yes**
aarch64 vector,                 Untested,   Untested,   No,         No,         Untested
amd64 x87,                      No,         No,         No,         No,         No
amd64 mmx,                      No,         No,         No,         No,         No
amd64 sse,                      **Yes**,    **Yes**,    No,         No,         **Yes**
amd64 avx2,                     **Yes**,    **Yes**,    No,         No,         **Yes**
amd64 avx512,                   No Support, Untested,   No,         No,         Untested
arm-v7 double scalar,           **Yes**,    **Yes**,    No,         Untested,   **Yes**
arm-v7 quad scalar,             No Support, Untested,   No,         Untested,   Untested
arm-v7 double vector,           Untested,   Untested,   No,         Untested,   Untested
arm-v7 quad vector,             No Support, Untested,   No,         Untested,   Untested
i386 x87,                       No,         No,         No,         No,         No
i386 mmx,                       No,         No,         No,         No,         No
i386 sse,                       **Yes**,    **Yes**,    No,         No,         **Yes**
mips32,                         No,         Untested,   No,         No,         No Support
mips64,                         No,         Untested,   No,         No,         No Support
powerpc32,                      No,         Untested,   No,         Untested,   No Support
powerpc64,                      No,         Untested,   No Support, No,         No Support
riscv64,                        Untested,   Untested,   No Support, No,         No Support
superh-sh2a-fpu single,         No,         **Yes**,    **Yes**,    **Yes**,    No Support
superh-sh2a-fpu double,         No,         No,         **Yes**,    No,         No Support
superh-sh4 single,              No,         **Yes**,    **Yes**,    **Yes**,    No Support
superh-sh4 double,              No,         **Yes**,    **Yes**,    **Yes**,    No Support
xtensa,                         No,         Untested,   No Support, No,         No Support
