,           Support,    Notes
memchr,     Full,
memcmp,     Full,
memcpy,     Full,
memmove,    Full,
memset,     Full,
strchr,     Full,
strcmp,     Full,
strcoll,    Imprecise,  Relies on locale; prototype model.
strcpy,     Full,
strcspn,    Full,
strerror,   None,       Needs platform-specific lookup table.,
strlen,     Full,
strncmp,    Full,
strncpy,    Full,
strpbrk,    Full,
strrchr,    Full,
strspn,     Full,
strstr,     Full,
strtok,     Full,
strxfrm,    Imprecise,  Relies on locale; prototype model.
